source,domain,status,routes_used,candidate_urls,dated_items,feed_items,matched_items,duration_seconds,notes
Acsus,acsus.org,complete,https://news.google.com/rss/search?q=site:acsus.org&hl=en&gl=US&ceid=US:en,0,0,24,0,2.72,
Africacenter,africacenter.org,complete,https://news.google.com/rss/search?q=site:africacenter.org,1,1,100,0,3.37,
Americanprogress,americanprogress.org,complete,https://news.google.com/rss/search?q=site:americanprogress.org,2,2,100,0,3.07,
Arab-Reform,arab-reform.net,complete,https://news.google.com/rss/search?q=site:arab-reform.net&hl=en&gl=US&ceid=US:en,0,0,100,0,3.49,
Arabcenterdc,arabcenterdc.org,complete,https://news.google.com/rss/search?q=site:arabcenterdc.org&hl=en&gl=US&ceid=US:en,0,0,100,0,3.44,
Armscontrol,armscontrol.org,complete,https://news.google.com/rss/search?q=site:armscontrol.org,0,0,100,0,2.98,
Atlantic Council,atlanticcouncil.org,complete,https://www.atlanticcouncil.org/feed/,35,35,100,6,10.94,
Belfercenter,belfercenter.org,complete,https://news.google.com/rss/search?q=site:belfercenter.org&hl=en&gl=US&ceid=US:en,0,0,100,0,3.08,
Brookings,brookings.edu,complete,https://news.google.com/rss/search?q=site:brookings.edu&hl=en&gl=US&ceid=US:en,19,19,100,0,2.99,
Bruegel,bruegel.org,complete,https://news.google.com/rss/search?q=site:bruegel.org,5,5,100,0,3.77,
Carnegieendowment,carnegieendowment.org,complete,https://news.google.com/rss/search?q=site:carnegieendowment.org&hl=en&gl=US&ceid=US:en,3,3,100,1,3.16,
Carpo-Bonn,carpo-bonn.org,complete,https://news.google.com/rss/search?q=site:carpo-bonn.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.52,
Cass,cass.cn,complete,https://news.google.com/rss/search?q=site:cass.cn&hl=en&gl=US&ceid=US:en,0,0,100,0,3.29,
Cato,cato.org,complete,https://news.google.com/rss/search?q=site:cato.org,37,37,100,0,2.8,
Cebri,cebri.org,complete,https://news.google.com/rss/search?q=site:cebri.org&hl=en&gl=US&ceid=US:en,1,1,100,0,3.22,
Center for a New American Security,cnas.org,route_error,,0,0,0,0,2.92,feed https://www.cnas.org/feed: HTTPError: 404 Client Error: Not Found for url: https://www.cnas.org/feed
Centre for European Reform,cer.eu,complete,https://www.cer.eu/rss.xml,0,0,10,0,3.32,
Cfr,cfr.org,complete,https://news.google.com/rss/search?q=site:cfr.org&hl=en&gl=US&ceid=US:en,13,13,100,1,2.77,
Chathamhouse,chathamhouse.org,complete,https://news.google.com/rss/search?q=site:chathamhouse.org,7,7,100,0,3.0,
Chinausfocus,chinausfocus.com,complete,https://news.google.com/rss/search?q=site:chinausfocus.com&hl=en&gl=US&ceid=US:en,0,0,100,0,2.77,
Cidob,cidob.org,complete,https://news.google.com/rss/search?q=site:cidob.org&hl=en&gl=US&ceid=US:en,1,1,100,0,3.03,
Ciis,ciis.org.cn,complete,https://news.google.com/rss/search?q=site:ciis.org.cn&hl=en&gl=US&ceid=US:en,0,0,100,0,3.01,
Clingendael,clingendael.org,complete,https://news.google.com/rss/search?q=site:clingendael.org&hl=en&gl=US&ceid=US:en,2,2,100,0,2.78,
Cmec,cmec.org.uk,complete,https://news.google.com/rss/search?q=site:cmec.org.uk&hl=en&gl=US&ceid=US:en,2,2,13,0,2.71,
Consejomexicano,consejomexicano.org,complete,https://news.google.com/rss/search?q=site:consejomexicano.org&hl=en&gl=US&ceid=US:en,0,0,5,0,2.18,
Cread,cread.dz,complete,https://news.google.com/rss/search?q=site:cread.dz&hl=en&gl=US&ceid=US:en,0,0,4,0,2.69,
Crisisgroup,crisisgroup.org,complete,https://www.crisisgroup.org/rss,0,0,10,0,3.5,
Csis,csis.org,complete,https://news.google.com/rss/search?q=site:csis.org&hl=en&gl=US&ceid=US:en,3,3,100,0,2.89,
Derasat,derasat.org.bh,complete,https://news.google.com/rss/search?q=site:derasat.org.bh&hl=en&gl=US&ceid=US:en,3,3,100,0,2.53,
Dohainstitute,dohainstitute.org,complete,https://news.google.com/rss/search?q=site:dohainstitute.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.59,
Ecdpm,ecdpm.org,complete,https://news.google.com/rss/search?q=site:ecdpm.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.61,
ECFR,ecfr.eu,complete,https://ecfr.eu/feed/,7,7,25,0,5.85,
Egmontinstitute,egmontinstitute.be,complete,https://news.google.com/rss/search?q=site:egmontinstitute.be,1,1,100,0,2.68,
Erf,erf.org.eg,complete,https://news.google.com/rss/search?q=site:erf.org.eg&hl=en&gl=US&ceid=US:en,1,1,100,0,2.52,
Fas,fas.org,complete,https://news.google.com/rss/search?q=site:fas.org&hl=en&gl=US&ceid=US:en,2,2,100,0,2.94,
Gatewayhouse,gatewayhouse.in,complete,https://news.google.com/rss/search?q=site:gatewayhouse.in&hl=en&gl=US&ceid=US:en,0,0,100,0,2.13,
Gmfus,gmfus.org,complete,https://www.gmfus.org/rss.xml,9,9,10,0,4.34,
Heritage Foundation,heritage.org,complete,https://www.heritage.org/rss,16,16,20,0,2.73,
Hoover Institution,hoover.org,complete,https://www.hoover.org/rss.xml,10,10,10,0,5.94,
Hudson Institute,hudson.org,complete,https://www.hudson.org/rss.xml,10,10,10,0,5.65,
Iai,iai.it,complete,https://news.google.com/rss/search?q=site:iai.it,1,1,100,1,2.99,
Icct,icct.nl,complete,https://news.google.com/rss/search?q=site:icct.nl,0,0,100,0,3.92,
Icwa,icwa.in,complete,https://news.google.com/rss/search?q=site:icwa.in&hl=en&gl=US&ceid=US:en,0,0,100,0,2.95,
Idsa,idsa.in,complete,https://news.google.com/rss/search?q=site:idsa.in,1,1,100,0,2.97,
Ifri,ifri.org,complete,https://news.google.com/rss/search?q=site:ifri.org,1,1,100,0,2.56,
Iiss,iiss.org,complete,https://news.google.com/rss/search?q=site:iiss.org,4,4,100,0,2.58,
Ipi,ipi.org,complete,https://news.google.com/rss/search?q=site:ipi.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.77,
Ipinst,ipinst.org,complete,https://news.google.com/rss/search?q=site:ipinst.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.76,
Ipis,ipis.ir,complete,https://news.google.com/rss/search?q=site:ipis.ir&hl=en&gl=US&ceid=US:en,1,1,69,0,2.58,
Ipss-Addis,ipss-addis.org,complete,https://news.google.com/rss/search?q=site:ipss-addis.org&hl=en&gl=US&ceid=US:en,2,2,100,0,2.08,
Issafrica,issafrica.org,complete,https://news.google.com/rss/search?q=site:issafrica.org,0,0,100,0,3.06,
Jiia,jiia.or.jp,complete,https://news.google.com/rss/search?q=site:jiia.or.jp&hl=en&gl=US&ceid=US:en,2,2,100,0,2.76,
Jri,jri.co.jp,complete,https://news.google.com/rss/search?q=site:jri.co.jp&hl=en&gl=US&ceid=US:en,1,1,100,0,3.19,
Kdi,kdi.re.kr,complete,https://news.google.com/rss/search?q=site:kdi.re.kr&hl=en&gl=US&ceid=US:en,19,19,100,0,2.9,
Kfcris,kfcris.com,complete,https://news.google.com/rss/search?q=site:kfcris.com&hl=en&gl=US&ceid=US:en,0,0,9,0,2.23,
Kippra,kippra.or.ke,complete,https://news.google.com/rss/search?q=site:kippra.or.ke&hl=en&gl=US&ceid=US:en,24,24,100,0,2.18,
Lcps-Lebanon,lcps-lebanon.org,complete,https://news.google.com/rss/search?q=site:lcps-lebanon.org&hl=en&gl=US&ceid=US:en,1,1,100,0,2.79,
Lkyspp,lkyspp.nus.edu.sg,complete,https://news.google.com/rss/search?q=site:lkyspp.nus.edu.sg,0,0,100,0,2.76,
Lowy Institute,lowyinstitute.org,complete,https://www.lowyinstitute.org/publications/rss.xml,1,1,50,1,3.13,
Martenscentre,martenscentre.eu,complete,https://news.google.com/rss/search?q=site:martenscentre.eu,0,0,100,0,2.67,
Mei,mei.edu,complete,https://news.google.com/rss/search?q=site:mei.edu&hl=en-US&gl=US&ceid=US:en,0,0,100,0,3.2,
Mena-Studies,mena-studies.org,complete,https://news.google.com/rss/search?q=site:mena-studies.org&hl=en&gl=US&ceid=US:en,0,0,48,0,2.53,
Merics,merics.org,complete,https://news.google.com/rss/search?q=site:merics.org&hl=en&gl=US&ceid=US:en,3,3,100,0,2.44,
News,aei.org,complete,https://news.google.com/rss/search?q=site:aei.org,51,51,100,0,3.61,
Nti,nti.org,complete,https://news.google.com/rss/search?q=site:nti.org,1,1,100,0,2.68,
Odi,odi.org,complete,https://news.google.com/rss/search?q=site:odi.org&hl=en&gl=US&ceid=US:en,3,3,100,0,2.8,
Orfonline,orfonline.org,complete,https://news.google.com/rss/search?q=site:orfonline.org,4,4,100,0,2.0,
Pew Research Center,pewresearch.org,complete,https://www.pewresearch.org/feed/,14,14,100,1,6.05,
Rand,rand.org,complete,https://news.google.com/rss/search?q=site:rand.org,3,3,100,0,2.72,
Rusi,rusi.org,complete,https://news.google.com/rss/search?q=site:rusi.org,1,1,100,0,3.26,
Saiia,saiia.org.za,complete,https://news.google.com/rss/search?q=site:saiia.org.za&hl=en&gl=US&ceid=US:en,1,1,100,0,3.03,
Sanaacenter,sanaacenter.org,complete,https://news.google.com/rss/search?q=site:sanaacenter.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.77,
Sharqforum,sharqforum.org,complete,https://news.google.com/rss/search?q=site:sharqforum.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.62,
Siis,siis.org.cn,complete,https://news.google.com/rss/search?q=site:siis.org.cn&hl=en&gl=US&ceid=US:en,0,0,60,0,2.57,
Sipri,sipri.org,complete,https://news.google.com/rss/search?q=site:sipri.org,2,2,100,0,2.34,
Stimson Center,stimson.org,route_error,,0,0,0,0,2.63,feed https://www.stimson.org/feed/: HTTPError: 403 Client Error: Forbidden for url: https://www.stimson.org/feed/
Takshashila,takshashila.org.in,complete,https://news.google.com/rss/search?q=site:takshashila.org.in&hl=en&gl=US&ceid=US:en,7,7,100,0,2.89,
Tcf,tcf.org,complete,https://news.google.com/rss/search?q=site:tcf.org&hl=en&gl=US&ceid=US:en,1,1,100,0,2.53,
The Jamestown Foundation,jamestown.org,complete,https://jamestown.org/feed/,9,9,10,1,4.09,
Thedialogue,thedialogue.org,complete,https://news.google.com/rss/search?q=site:thedialogue.org&hl=en&gl=US&ceid=US:en,0,0,100,0,2.77,
Understandingwar,understandingwar.org,complete,https://news.google.com/rss/search?q=site:understandingwar.org,18,18,100,0,2.43,
Washington Institute,washingtoninstitute.org,route_error,,0,0,0,0,2.14,feed https://www.washingtoninstitute.org/rss.xml: HTTPError: 404 Client Error: Not Found for url: https://www.washingtoninstitute.org/rss.xml
Wilson Center,wilsoncenter.org,route_error,,0,0,0,0,2.31,feed https://www.wilsoncenter.org/rss.xml: HTTPError: 404 Client Error: Not Found for url: https://www.wilsoncenter.org/rss.xml
