source_name,domain,feed_url,origin,articles_count,articles_last_30_days,duplicate_pct,suggested_action,governance_status
Acsus,acsus.org,https://news.google.com/rss/search?q=site:acsus.org&hl=en&gl=US&ceid=US:en,google_news,4,3,0.0,MANUAL_CHECK,unreviewed
News,aei.org,https://news.google.com/rss/search?q=site:aei.org,google_news,1594,572,0.69,MANUAL_CHECK,unreviewed
Africacenter,africacenter.org,https://news.google.com/rss/search?q=site:africacenter.org,google_news,13,6,0.0,MANUAL_CHECK,unreviewed
Americanprogress,americanprogress.org,https://news.google.com/rss/search?q=site:americanprogress.org,google_news,71,16,1.41,MANUAL_CHECK,unreviewed
Arab-Reform,arab-reform.net,https://news.google.com/rss/search?q=site:arab-reform.net&hl=en&gl=US&ceid=US:en,google_news,44,4,2.27,MANUAL_CHECK,unreviewed
Arabcenterdc,arabcenterdc.org,https://news.google.com/rss/search?q=site:arabcenterdc.org&hl=en&gl=US&ceid=US:en,google_news,26,5,0.0,MANUAL_CHECK,unreviewed
Armscontrol,armscontrol.org,https://news.google.com/rss/search?q=site:armscontrol.org,google_news,14,4,0.0,MANUAL_CHECK,unreviewed
Atlantic Council,atlanticcouncil.org,https://www.atlanticcouncil.org/feed/,direct,485,145,0.0,KEEP_CANDIDATE,unreviewed
Belfercenter,belfercenter.org,https://news.google.com/rss/search?q=site:belfercenter.org&hl=en&gl=US&ceid=US:en,google_news,6,1,0.0,MANUAL_CHECK,unreviewed
Brookings,brookings.edu,https://news.google.com/rss/search?q=site:brookings.edu&hl=en&gl=US&ceid=US:en,google_news,0,0,0.0,registry_existing,
Bruegel,bruegel.org,https://news.google.com/rss/search?q=site:bruegel.org,google_news,119,31,10.92,MANUAL_CHECK,unreviewed
Carnegieendowment,carnegieendowment.org,https://news.google.com/rss/search?q=site:carnegieendowment.org&hl=en&gl=US&ceid=US:en,google_news,0,0,0.0,registry_existing,
Carpo-Bonn,carpo-bonn.org,https://news.google.com/rss/search?q=site:carpo-bonn.org&hl=en&gl=US&ceid=US:en,google_news,6,0,0.0,CHECK_INACTIVE,unreviewed
Cass,cass.cn,https://news.google.com/rss/search?q=site:cass.cn&hl=en&gl=US&ceid=US:en,google_news,60,19,76.67,MANUAL_CHECK,REPLACE
Cato,cato.org,https://news.google.com/rss/search?q=site:cato.org,google_news,0,0,0.0,registry_existing,
Cebri,cebri.org,https://news.google.com/rss/search?q=site:cebri.org&hl=en&gl=US&ceid=US:en,google_news,66,23,12.12,MANUAL_CHECK,unreviewed
Centre for European Reform,cer.eu,https://www.cer.eu/rss.xml,direct,10,3,0.0,KEEP_CANDIDATE,unreviewed
Cfr,cfr.org,https://news.google.com/rss/search?q=site:cfr.org&hl=en&gl=US&ceid=US:en,google_news,0,0,0.0,registry_existing,
Chathamhouse,chathamhouse.org,https://news.google.com/rss/search?q=site:chathamhouse.org,google_news,0,0,0.0,registry_existing,
Chinausfocus,chinausfocus.com,https://news.google.com/rss/search?q=site:chinausfocus.com&hl=en&gl=US&ceid=US:en,google_news,15,2,0.0,MANUAL_CHECK,unreviewed
Cidob,cidob.org,https://news.google.com/rss/search?q=site:cidob.org&hl=en&gl=US&ceid=US:en,google_news,172,18,53.49,MANUAL_CHECK,unreviewed
Ciis,ciis.org.cn,https://news.google.com/rss/search?q=site:ciis.org.cn&hl=en&gl=US&ceid=US:en,google_news,21,4,14.29,MANUAL_CHECK,unreviewed
Clingendael,clingendael.org,https://news.google.com/rss/search?q=site:clingendael.org&hl=en&gl=US&ceid=US:en,google_news,72,18,36.11,MANUAL_CHECK,unreviewed
Cmec,cmec.org.uk,https://news.google.com/rss/search?q=site:cmec.org.uk&hl=en&gl=US&ceid=US:en,google_news,5,3,0.0,MANUAL_CHECK,unreviewed
Center for a New American Security,cnas.org,https://www.cnas.org/feed,direct,0,0,0.0,registry_existing,
Consejomexicano,consejomexicano.org,https://news.google.com/rss/search?q=site:consejomexicano.org&hl=en&gl=US&ceid=US:en,google_news,4,4,0.0,MANUAL_CHECK,unreviewed
Cread,cread.dz,https://news.google.com/rss/search?q=site:cread.dz&hl=en&gl=US&ceid=US:en,google_news,2,2,0.0,MANUAL_CHECK,null
Crisisgroup,crisisgroup.org,https://www.crisisgroup.org/rss,direct,20,20,0.0,KEEP_CANDIDATE,null
Csis,csis.org,https://news.google.com/rss/search?q=site:csis.org&hl=en&gl=US&ceid=US:en,google_news,0,0,0.0,registry_existing,
Derasat,derasat.org.bh,https://news.google.com/rss/search?q=site:derasat.org.bh&hl=en&gl=US&ceid=US:en,google_news,49,15,6.12,MANUAL_CHECK,unreviewed
Dohainstitute,dohainstitute.org,https://news.google.com/rss/search?q=site:dohainstitute.org&hl=en&gl=US&ceid=US:en,google_news,9,1,11.11,MANUAL_CHECK,unreviewed
Ecdpm,ecdpm.org,https://news.google.com/rss/search?q=site:ecdpm.org&hl=en&gl=US&ceid=US:en,google_news,54,12,0.0,MANUAL_CHECK,unreviewed
ECFR,ecfr.eu,https://ecfr.eu/feed/,direct,92,27,1.09,KEEP_CANDIDATE,unreviewed
Egmontinstitute,egmontinstitute.be,https://news.google.com/rss/search?q=site:egmontinstitute.be,google_news,46,8,0.0,MANUAL_CHECK,unreviewed
Erf,erf.org.eg,https://news.google.com/rss/search?q=site:erf.org.eg&hl=en&gl=US&ceid=US:en,google_news,103,15,0.97,MANUAL_CHECK,unreviewed
Fas,fas.org,https://news.google.com/rss/search?q=site:fas.org&hl=en&gl=US&ceid=US:en,google_news,35,8,2.86,MANUAL_CHECK,unreviewed
Gatewayhouse,gatewayhouse.in,https://news.google.com/rss/search?q=site:gatewayhouse.in&hl=en&gl=US&ceid=US:en,google_news,9,2,0.0,MANUAL_CHECK,null
Gmfus,gmfus.org,https://www.gmfus.org/rss.xml,direct,124,51,0.81,KEEP_CANDIDATE,unreviewed
